	state	covid19SiteOld	covid19Site	covid19SiteSecondary	twitter	pui	pum	notes	name	location	main_page	data_page	source_name	error_msg	comment
16	IL	http://www.dph.illinois.gov/topics-services/diseases-and-conditions/diseases-a-z-list/coronavirus	http://www.dph.illinois.gov/topics-services/diseases-and-conditions/diseases-a-z-list/coronavirus		@IDPH	All data	False	Our data differs from Illinois because we count deaths as positives.	Illinois	IL	http://www.dph.illinois.gov/topics-services/diseases-and-conditions/diseases-a-z-list/coronavirus		google-states-csv		
17	IN	https://www.in.gov/isdh/28470.htm	https://www.in.gov/isdh/28470.htm		@statehealthin	Only positives	False	Negative = Total – Positive. Totals are incomplete for private labs, so negatives are a lower bound.	Indiana	IN	https://www.in.gov/isdh/28470.htm		google-states-csv		
18	KS	http://www.kdheks.gov/coronavirus/	http://www.kdheks.gov/coronavirus/		@kdhe	All data	False	Last negative number referenced in [3/17 press release](https://khap2.kdhe.state.ks.us/NewsRelease/COVID19/COVID-19_March_17_2020_Amended.pdf). Death referenced in [article](https://www.cjonline.com/news/20200316/kelly-imposes-cdc-limit-of-50-people-at-gatherings-kansas-documents-11-cases)	Kansas	KS	http://www.kdheks.gov/coronavirus/		google-states-csv		
19	KY	https://chfs.ky.gov/agencies/dph/Pages/covid19.aspx	https://chfs.ky.gov/agencies/dph/Pages/covid19.aspx		@CHFSKy	All data	False	Death from [news reports](https://www.wdrb.com/news/coronavirus/kentucky-governor-confirms-state-s-first-coronavirus-related-death/article_bde65e98-66e9-11ea-b91c-2b91947df1b8.html).	Kentucky	KY	https://chfs.ky.gov/agencies/dph/Pages/covid19.aspx		google-states-csv		
20	LA	http://ldh.la.gov/Coronavirus/	http://ldh.la.gov/Coronavirus/		@LADeptHealth	Only positives	False	New press release only includes positive numbers. Negative = Total - Positive. Totals only provided for public health lab, so negatives are a lower bound.	Louisiana	LA	http://ldh.la.gov/Coronavirus/		google-states-csv		
21	MA	https://www.mass.gov/resource/information-on-the-outbreak-of-coronavirus-disease-2019-covid-19	https://www.mass.gov/info-details/covid-19-cases-quarantine-and-monitoring		@massdph	Only positives	True	Positives include 8 CDC tests as noted in the PDF. Negatives calculated from the PDF. Updates at 4pm.	Massachusetts	MA	https://www.mass.gov/info-details/covid-19-cases-quarantine-and-monitoring		google-states-csv		
22	MD	https://phpa.health.maryland.gov/Pages/Novel-coronavirus.aspx	https://phpa.health.maryland.gov/Pages/Novel-coronavirus.aspx		@MDHealthDept	All data	False	Maryland does not report negative test results. We are using the last negative as of 3/12. 	Maryland	MD	https://phpa.health.maryland.gov/Pages/Novel-coronavirus.aspx		google-states-csv		
23	ME	https://www.maine.gov/dhhs/mecdc/infectious-disease/epi/airborne/coronavirus.shtml	https://www.maine.gov/dhhs/mecdc/infectious-disease/epi/airborne/coronavirus.shtml		@mainedhhs	Only positives	False	Use the time at the top row of the table. Recovered added to Positive to count accurately towards total.	Maine	ME	https://www.maine.gov/dhhs/mecdc/infectious-disease/epi/airborne/coronavirus.shtml		google-states-csv		
24	MI	https://www.michigan.gov/coronavirus	https://www.michigan.gov/coronavirus/0,9753,7-406-98163-520743--,00.html	https://www.michigan.gov/coronavirus/	@MichiganHHS	All data	True	Michigan tracks numbers on two different pages. The deaths are only on the [top-level page](https://www.michigan.gov/coronavirus/) but we use the higher number of positives reported on [this dashboard](https://www.michigan.gov/coronavirus/0,9753,7-406-98163-520743--,00.html).	Michigan	MI	https://www.michigan.gov/coronavirus/0,9753,7-406-98163-520743--,00.html	https://www.michigan.gov/coronavirus/	google-states-csv		
25	MN	https://www.health.state.mn.us/diseases/coronavirus/index.html	https://www.health.state.mn.us/diseases/coronavirus/situation.html		@mnhealth	All data	False	Negative = Total - Positive. Totals only provided for public health lab, so negatives are a lower bound.	Minnesota	MN	https://www.health.state.mn.us/diseases/coronavirus/situation.html		google-states-csv		
26	MO	https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/	https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/		@HealthyLivingMo	Only positives	False	"Positive cases are summed from the ""Cases by County"" table and include public and commercial labs. Negatives and Totals are only from public health sources."	Missouri	MO	https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/		google-states-csv		
27	MP	https://www.chcc.gov.mp/coronavirusinformation.php	https://www.chcc.gov.mp/coronavirusinformation.php		@cnmichcc	No Data	False	Mariana Islands: No data, no confirmed cases yet.	Northern Mariana Islands	MP	https://www.chcc.gov.mp/coronavirusinformation.php		google-states-csv		
28	MS	https://msdh.ms.gov/msdhsite/_static/14,0,420.html	https://msdh.ms.gov/msdhsite/_static/14,0,420.html		@msdh	Only positives	False	Negatives are calculated from total positives (public and commercial labs) and total tests (state lab only), therefore they should be treated as a lower bound for actual negatives.	Mississippi	MS	https://msdh.ms.gov/msdhsite/_static/14,0,420.html		google-states-csv		
29	MT	https://dphhs.mt.gov/publichealth/cdepi/diseases/coronavirusmt	https://dphhs.mt.gov/publichealth/cdepi/diseases/coronavirusmt		@dphhsmt	All data	True	"We use ""Persons with positive results"" for our positive count, which we believe excludes the mentioned ""part time resident"" who was not tested in MT."	Montana	MT	https://dphhs.mt.gov/publichealth/cdepi/diseases/coronavirusmt		google-states-csv		
30	NC	https://www.ncdhhs.gov/divisions/public-health/coronavirus-disease-2019-covid-19-response-north-carolina	https://www.ncdhhs.gov/covid-19-case-count-north-carolina		@ncdhhs	Only positives	False	Negatives are calculated from total positives (public and commercial labs) and total tests (which only includes public labs and partial data from hospital and commercial labs), therefore they should be treated as a lower bound for actual negatives.	North Carolina	NC	https://www.ncdhhs.gov/covid-19-case-count-north-carolina		google-states-csv		
31	ND	https://www.health.nd.gov/diseases-conditions/coronavirus	https://www.health.nd.gov/diseases-conditions/coronavirus/north-dakota-coronavirus-cases		@NDDOH	All data	True	Numbers reflect only those tested at the public health lab. North Dakota stopped reporting pending numbers. No update time given, so we label as 0:00.	North Dakota	ND	https://www.health.nd.gov/diseases-conditions/coronavirus/north-dakota-coronavirus-cases		google-states-csv		
32	NE	http://dhhs.ne.gov/Pages/Coronavirus.aspx	http://dhhs.ne.gov/Pages/Coronavirus.aspx		@NEDHHS	All data	False	If no timestamp was given, time = 00:00	Nebraska	NE	http://dhhs.ne.gov/Pages/Coronavirus.aspx		google-states-csv		
33	NH	https://www.dhhs.nh.gov/dphs/cdcs/2019-ncov.htm	https://www.dhhs.nh.gov/dphs/cdcs/2019-ncov.htm		@NHPubHealth	All data	False	Negative = Persons Tested at PHL – Persons with COVID-19 – Persons with Test Pending in PHL	New Hampshire	NH	https://www.dhhs.nh.gov/dphs/cdcs/2019-ncov.htm		google-states-csv		
34	NJ	https://www.nj.gov/health/cd/topics/ncov.shtml	https://www.nj.gov/health/	https://covid19.nj.gov/	@NJDeptofHealth	All data	False	Positive count includes deaths. Negatives + pending from State Lab only. Pending = PUI. State may be changing how it reports negatives: there was a drop in negative count on 3/16. There's a new ArcGIS dashboard available on a new site (covid19.nj.gov) but the testing data there is not as comprehensive as the table on www.nj.gov/health	New Jersey	NJ	https://www.nj.gov/health/	https://covid19.nj.gov/	google-states-csv		
35	NM	https://cv.nmhealth.org/	https://cv.nmhealth.org/		@NMDOH	All data	False		New Mexico	NM	https://cv.nmhealth.org/		google-states-csv		
36	NV	http://dpbh.nv.gov/coronavirus/	https://app.powerbigov.us/view?r=eyJrIjoiMjA2ZThiOWUtM2FlNS00MGY5LWFmYjUtNmQwNTQ3Nzg5N2I2IiwidCI6ImU0YTM0MGU2LWI4OWUtNGU2OC04ZWFhLTE1NDRkMjcwMzk4MCJ9	http://dpbh.nv.gov/coronavirus/	@dhhsnevada	All data	False	"We calculate pending from Totals – Positives – Negatives. Multiple update times for various sources of data on the dashboard; we use the latest timestamp for our ""Last Update"" time."	Nevada	NV	https://app.powerbigov.us/view?r=eyJrIjoiMjA2ZThiOWUtM2FlNS00MGY5LWFmYjUtNmQwNTQ3Nzg5N2I2IiwidCI6ImU0YTM0MGU2LWI4OWUtNGU2OC04ZWFhLTE1NDRkMjcwMzk4MCJ9	http://dpbh.nv.gov/coronavirus/	google-states-csv		
37	NY	https://www.health.ny.gov/diseases/communicable/coronavirus/	https://coronavirus.health.ny.gov/county-county-breakdown-positive-cases		@healthnygov	Only positives	False	Numbers come from [press conference](https://www.governor.ny.gov). 	New York	NY	https://coronavirus.health.ny.gov/county-county-breakdown-positive-cases		google-states-csv		
38	OH	https://odh.ohio.gov/wps/portal/gov/odh/know-our-programs/Novel-Coronavirus/welcome/	https://coronavirus.ohio.gov/wps/portal/gov/covid-19/		@OHdeptofhealth	All data	False	Last negative count is from 3/15.	Ohio	OH	https://coronavirus.ohio.gov/wps/portal/gov/covid-19/		google-states-csv		
39	OK	https://coronavirus.health.ok.gov	https://coronavirus.health.ok.gov/		@HealthyOklahoma	All data	False	"Pending = ""PUIs pending results."" We exclude ""Positive (Out-of-State)"" results as we assume these individuals are isolated outside the state. Last Update time based on the ""As of"" time below the charts."	Oklahoma	OK	https://coronavirus.health.ok.gov/		google-states-csv		
40	OR	https://www.oregon.gov/oha/PH/DISEASESCONDITIONS/DISEASESAZ/Pages/emerging-respiratory-infections.aspx	https://www.oregon.gov/oha/PH/DISEASESCONDITIONS/DISEASESAZ/Pages/emerging-respiratory-infections.aspx		@OHAOregon	All data	True		Oregon	OR	https://www.oregon.gov/oha/PH/DISEASESCONDITIONS/DISEASESAZ/Pages/emerging-respiratory-infections.aspx		google-states-csv		
41	PA	https://www.health.pa.gov/topics/disease/Pages/Coronavirus.aspx	https://www.health.pa.gov/topics/disease/coronavirus/Pages/Cases.aspx		@PAHealthDept	Only positives	False	County level data doesn't add up to the totals provided. We don't add deaths back into positives until we have more clarity on whether they are already included in the positive count. 	Pennsylvania	PA	https://www.health.pa.gov/topics/disease/coronavirus/Pages/Cases.aspx		google-states-csv		
42	PR	http://www.salud.gov.pr/Pages/coronavirus.aspx	http://www.salud.gov.pr/Pages/coronavirus.aspx		@DeptSaludPR	No Data	False	New data dashboard available: https://estadisticas.pr/en/covid-19	Puerto Rico	PR	http://www.salud.gov.pr/Pages/coronavirus.aspx		google-states-csv		
43	RI	https://health.ri.gov/diseases/respiratory/?parm=163	https://health.ri.gov/data/covid-19/		@rihealth	All data	False	Use time = 00:00  	Rhode Island	RI	https://health.ri.gov/data/covid-19/		google-states-csv		
44	SC	https://scdhec.gov/health/infectious-diseases/viruses/coronavirus-disease-2019-covid-19	https://scdhec.gov/health/infectious-diseases/viruses/coronavirus-disease-2019-covid-19/monitoring-testing-covid-19		@scdhec	All data	True	"Positive = “Positive” + “Presumptive Positive”.  
Deaths from [a press release](https://www.scdhec.gov/news-releases/state-south-carolina-reports-first-covid-19-related-death)."	South Carolina	SC	https://scdhec.gov/health/infectious-diseases/viruses/coronavirus-disease-2019-covid-19/monitoring-testing-covid-19		google-states-csv		
45	SD	https://doh.sd.gov/news/Coronavirus.aspx	https://doh.sd.gov/news/Coronavirus.aspx		@SDDOH	All data	False	Use time = 00:00  	South Dakota	SD	https://doh.sd.gov/news/Coronavirus.aspx		google-states-csv		
46	TN	https://www.tn.gov/health/cedep/ncov.html	https://www.tn.gov/health/cedep/ncov.html		@TNDeptofHealth	Only positives	False	Negative count from state lab only, which reported 24/98 total positives.  Use time = 15:00.  	Tennessee	TN	https://www.tn.gov/health/cedep/ncov.html		google-states-csv		
47	TX	https://dshs.texas.gov/coronavirus/	https://dshs.texas.gov/news/updates.shtm#coronavirus		@TexasDSHS	Only positives	False	Only positive counts. Use time = 13:00, as per the site's guidance..	Texas	TX	https://dshs.texas.gov/news/updates.shtm#coronavirus		google-states-csv		
48	UT	https://health.utah.gov/coronavirus	https://coronavirus-dashboard.utah.gov/		@utahdepofhealth	Only positives	False	Positives include non-Utah residents. Negative = Total - Positive. Totals are incomplete for private labs, so negatives are a lower bound.	Utah	UT	https://coronavirus-dashboard.utah.gov/		google-states-csv		
49	VA	http://www.vdh.virginia.gov/surveillance-and-investigation/novel-coronavirus/	https://public.tableau.com/views/VirginiaCOVID-19Dashboard/VirginiaCOVID-19Dashboard?:embed=yes&:display_count=yes&:showVizHome=no&:toolbar=no		@vdhgov	Positives + Negatives	True	"Death sourced from [WAVY](https://www.wavy.com/news/health/coronavirus/gov-northam-to-addresses-coronavirus-concerns-as-vdh-confirms-41-cases-1-death/)
Use time = 12:00"	Virginia	VA	https://public.tableau.com/views/VirginiaCOVID-19Dashboard/VirginiaCOVID-19Dashboard?:embed=yes&:display_count=yes&:showVizHome=no&:toolbar=no		google-states-csv		
50	VI	https://doh.vi.gov/	https://doh.vi.gov/		@usvidoh	Positives Only	False	Virgin Islands: Positives and deaths provided. As of 3/18 at 12:56PM, update time was listed for 5:30PM (in the future), so we used 0:00 as a default timestamp.	Virgin Islands	VI	https://doh.vi.gov/		google-states-csv		
51	VT	https://www.healthvermont.gov/response/infectious-disease/2019-novel-coronavirus	https://www.healthvermont.gov/response/infectious-disease/2019-novel-coronavirus		@healthvermont	Positives + Negatives	True	Use time =  13:00.	Vermont	VT	https://www.healthvermont.gov/response/infectious-disease/2019-novel-coronavirus		google-states-csv		
52	WA	https://www.doh.wa.gov/Emergencies/Coronavirus	https://www.doh.wa.gov/Emergencies/Coronavirus		@WADeptHealth	Positives + Negatives	True	Total tests are below the tables with positive cases. Positive includes deaths. 	Washington	WA	https://www.doh.wa.gov/Emergencies/Coronavirus		google-states-csv		
53	WI	https://www.dhs.wisconsin.gov/disease/covid-19.htm	https://www.dhs.wisconsin.gov/outbreaks/index.htm		@DHSWI	All data	False	No pending counts. Positive = “Positive” + “Positive Recovered”  	Wisconsin	WI	https://www.dhs.wisconsin.gov/outbreaks/index.htm		google-states-csv		
54	WV	https://dhhr.wv.gov/Coronavirus%20Disease-COVID-19/Pages/default.aspx	https://dhhr.wv.gov/Coronavirus%20Disease-COVID-19/Pages/default.aspx		@WV_DHHR	All data	False	"Pending = ""Under Investigation"". Data is in text.  Use time = 00:00"	West Virginia	WV	https://dhhr.wv.gov/Coronavirus%20Disease-COVID-19/Pages/default.aspx		google-states-csv		
55	WY	https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/	https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/		@health_wyoming	No data	False	Wyoming positive counts were reduced by from 3/18 > 3/19. Negatives = Total - Positive.	Wyoming	WY	https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/		google-states-csv		
