	location	main_page	data_page	source_name	error_msg	comment
15	IN	https://www.in.gov/isdh/28470.htm	https://www.in.gov/isdh/28470.htm	google-states		
16	KS	http://www.kdheks.gov/coronavirus/	http://www.kdheks.gov/coronavirus/	google-states		
17	KY	https://chfs.ky.gov/agencies/dph/Pages/covid19.aspx	https://chfs.ky.gov/agencies/dph/Pages/covid19.aspx	google-states		
18	LA	http://ldh.la.gov/Coronavirus/	http://ldh.la.gov/Coronavirus/	google-states		
19	MA	https://www.mass.gov/resource/information-on-the-outbreak-of-coronavirus-disease-2019-covid-19	https://www.mass.gov/info-details/covid-19-cases-quarantine-and-monitoring	google-states		
20	MD	https://phpa.health.maryland.gov/Pages/Novel-coronavirus.aspx	https://phpa.health.maryland.gov/Pages/Novel-coronavirus.aspx	google-states		
21	ME	https://www.maine.gov/dhhs/mecdc/infectious-disease/epi/airborne/coronavirus.shtml	https://www.maine.gov/dhhs/mecdc/infectious-disease/epi/airborne/coronavirus.shtml	google-states		
22	MI	https://www.michigan.gov/coronavirus	https://www.michigan.gov/coronavirus/0,9753,7-406-98163-520743--,00.html	google-states		
23	MN	https://www.health.state.mn.us/diseases/coronavirus/index.html	https://www.health.state.mn.us/diseases/coronavirus/situation.html	google-states		
24	MO	https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/	https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/	google-states		
25	MS	https://msdh.ms.gov/msdhsite/_static/14,0,420.html	https://msdh.ms.gov/msdhsite/_static/14,0,420.html	google-states		
26	MT	https://dphhs.mt.gov/publichealth/cdepi/diseases/coronavirusmt	https://dphhs.mt.gov/publichealth/cdepi/diseases/coronavirusmt	google-states		
27	NC	https://www.ncdhhs.gov/divisions/public-health/coronavirus-disease-2019-covid-19-response-north-carolina	https://www.ncdhhs.gov/covid-19-case-count-north-carolina	google-states		
28	ND	https://www.health.nd.gov/diseases-conditions/coronavirus	https://www.health.nd.gov/diseases-conditions/coronavirus/north-dakota-coronavirus-cases	google-states		
29	NE	http://dhhs.ne.gov/Pages/Coronavirus.aspx	http://dhhs.ne.gov/Pages/Coronavirus.aspx	google-states		
30	NH	https://www.dhhs.nh.gov/dphs/cdcs/2019-ncov.htm	https://www.dhhs.nh.gov/dphs/cdcs/2019-ncov.htm	google-states		
31	NJ	https://www.nj.gov/health/cd/topics/ncov.shtml	https://www.nj.gov/health/	google-states		
32	NM	https://cv.nmhealth.org/	https://cv.nmhealth.org/	google-states		
33	NV	http://dpbh.nv.gov/coronavirus/	https://nvhealthresponse.nv.gov/	google-states		
34	NY	https://www.health.ny.gov/diseases/communicable/coronavirus/	https://coronavirus.health.ny.gov/county-county-breakdown-positive-cases	google-states		
35	OH	https://odh.ohio.gov/wps/portal/gov/odh/know-our-programs/Novel-Coronavirus/welcome/	https://coronavirus.ohio.gov/wps/portal/gov/covid-19/	google-states		
36	OK	https://coronavirus.health.ok.gov	https://coronavirus.health.ok.gov/	google-states		
37	OR	https://www.oregon.gov/oha/PH/DISEASESCONDITIONS/DISEASESAZ/Pages/emerging-respiratory-infections.aspx	https://www.oregon.gov/oha/PH/DISEASESCONDITIONS/DISEASESAZ/Pages/emerging-respiratory-infections.aspx	google-states		
38	PA	https://www.health.pa.gov/topics/disease/Pages/Coronavirus.aspx	https://www.health.pa.gov/topics/disease/coronavirus/Pages/Cases.aspx	google-states		
39	RI	https://health.ri.gov/diseases/respiratory/?parm=163	https://health.ri.gov/data/covid-19/	google-states		
40	SC	https://scdhec.gov/health/infectious-diseases/viruses/coronavirus-disease-2019-covid-19	https://scdhec.gov/health/infectious-diseases/viruses/coronavirus-disease-2019-covid-19/monitoring-testing-covid-19	google-states		
41	SD	https://doh.sd.gov/news/Coronavirus.aspx	https://doh.sd.gov/news/Coronavirus.aspx	google-states		
42	TN	https://www.tn.gov/health/cedep/ncov.html	https://www.tn.gov/health/cedep/ncov.html	google-states		
43	TX	https://dshs.texas.gov/coronavirus/	https://dshs.texas.gov/news/updates.shtm#coronavirus	google-states		
44	UT	https://health.utah.gov/coronavirus	https://coronavirus-dashboard.utah.gov/	google-states		
45	VA	http://www.vdh.virginia.gov/surveillance-and-investigation/novel-coronavirus/	https://public.tableau.com/views/VirginiaCOVID-19Dashboard/VirginiaCOVID-19Dashboard?:embed=yes&:display_count=yes&:showVizHome=no&:toolbar=no	google-states		
46	VT	https://www.healthvermont.gov/response/infectious-disease/2019-novel-coronavirus	https://www.healthvermont.gov/response/infectious-disease/2019-novel-coronavirus	google-states		
47	WA	https://www.doh.wa.gov/Emergencies/Coronavirus	https://www.doh.wa.gov/Emergencies/Coronavirus	google-states		
48	WI	https://www.dhs.wisconsin.gov/disease/covid-19.htm	https://www.dhs.wisconsin.gov/outbreaks/index.htm	google-states		
49	WV	https://dhhr.wv.gov/Coronavirus%20Disease-COVID-19/Pages/default.aspx	https://dhhr.wv.gov/Coronavirus%20Disease-COVID-19/Pages/default.aspx	google-states		
50	WY	https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/	https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/	google-states		
51	PR	http://www.salud.gov.pr/Pages/coronavirus.aspx	http://www.salud.gov.pr/Pages/coronavirus.aspx	google-states		
52	VI	https://doh.vi.gov/	https://doh.vi.gov/	google-states		
53	GU	https://ghs.guam.gov/coronavirus-covid-19	https://ghs.guam.gov/coronavirus-covid-19	google-states		
54	MP	https://www.chcc.gov.mp/coronavirusinformation.php	https://www.chcc.gov.mp/coronavirusinformation.php	google-states		
55	AS	http://www.samoagovt.ws/2020/03/ministry-of-health-coronavirus-covid-19-update-14-march-2020/	http://www.samoagovt.ws/2020/03/ministry-of-health-coronavirus-covid-19-update-14-march-2020/	google-states		
