Name	Url
NY_data.html	duplicate of NY
OH.html	https://odh.ohio.gov/wps/portal/gov/odh/know-our-programs/Novel-Coronavirus/welcome/
OH_data.html	duplicate of OH
OK.html	https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/Coronavirus_Disease_2019/Oklahoma_Response_to_Coronavirus_Disease_2019/index.html
OK_data.html	duplicate of OK
OR.html	https://www.oregon.gov/oha/PH/DISEASESCONDITIONS/DISEASESAZ/Pages/emerging-respiratory-infections.aspx
OR_data.html	duplicate of OR
PA.html	https://www.health.pa.gov/topics/disease/Pages/Coronavirus.aspx
PA_data.html	duplicate of PA
RI.html	https://health.ri.gov/diseases/respiratory/?parm=163
RI_data.html	https://health.ri.gov/data/covid-19/
SC.html	https://scdhec.gov/health/infectious-diseases/viruses/coronavirus-disease-2019-covid-19
SC_data.html	https://scdhec.gov/health/infectious-diseases/viruses/coronavirus-disease-2019-covid-19/monitoring-testing-covid-19
SD.html	https://doh.sd.gov/news/Coronavirus.aspx
SD_data.html	duplicate of SD
TN.html	https://www.tn.gov/health/cedep/ncov.html
TN_data.html	duplicate of TN
TX.html	https://dshs.texas.gov/coronavirus/
TX_data.html	https://dshs.texas.gov/news/updates.shtm#coronavirus
UT.html	https://health.utah.gov/coronavirus
UT_data.html	https://coronavirus.utah.gov/latest/
VA.html	http://www.vdh.virginia.gov/surveillance-and-investigation/novel-coronavirus/
VA_data.html	duplicate of VA
VT.html	https://www.healthvermont.gov/response/infectious-disease/2019-novel-coronavirus
VT_data.html	duplicate of VT
WA.html	https://www.doh.wa.gov/Emergencies/Coronavirus
WA_data.html	duplicate of WA
WI.html	https://www.dhs.wisconsin.gov/disease/covid-19.htm
WI_data.html	https://www.dhs.wisconsin.gov/outbreaks/index.htm
WV.html	https://dhhr.wv.gov/Coronavirus%20Disease-COVID-19/Pages/default.aspx
WV_data.html	duplicate of WV
WY.html	https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/
WY_data.html	duplicate of WY
mail_sheet	https://docs.google.com/spreadsheets/d/18oVRrHj3c183mHmq3m89_163yuYltLNlOmPerQ18E8w/htmlview?sle=true#
main_sheet.html.html	https://docs.google.com/spreadsheets/d/18oVRrHj3c183mHmq3m89_163yuYltLNlOmPerQ18E8w/htmlview?sle=true#
main_sheet.html	https://docs.google.com/spreadsheets/d/18oVRrHj3c183mHmq3m89_163yuYltLNlOmPerQ18E8w/htmlview?sle=true#
